,ridgexneg,ridgeyneg,ridgexpos,ridgeypos,ridge_id
0,258955.5,3888664.5,258936.5,3888605.5,1
1,258989.5,3888582.5,258949.5,3888489.5,2
2,259030.5,3888526.5,259000.5,3888432.5,3
3,259103.5,3888472.5,259100.5,3888434.5,4
4,259266.5,3888377.5,259218.5,3888328.5,5
5,259320.5,3888341.5,259291.5,3888239.5,7
6,259414.5,3888220.5,259408.5,3888198.5,9
7,259524.5,3888050.5,259485.5,3887970.5,14
8,259555.5,3888009.5,259515.5,3887875.5,16
9,259771.5,3887809.5,259712.5,3887686.5,21
10,259851.5,3887718.5,259841.5,3887647.5,24
11,259920.5,3887617.5,259866.5,3887480.5,26
12,259998.5,3887528.5,260038.5,3887558.5,27
13,260141.5,3887455.5,260066.5,3887382.5,29
14,260155.5,3887349.5,260079.5,3887229.5,33
15,260212.5,3887280.5,260172.5,3887216.5,34
16,260292.5,3887158.5,260228.5,3887065.5,35
17,260577.5,3886952.5,260477.5,3886850.5,40
18,260488.5,3887093.5,260485.5,3887082.5,39
19,260625.5,3886929.5,260603.5,3886871.5,42
20,260677.5,3886858.5,260657.5,3886816.5,46
21,260730.5,3886733.5,260719.5,3886692.5,48
22,260757.5,3886660.5,260719.5,3886518.5,50
23,260919.5,3886557.5,260903.5,3886449.5,54
24,260863.5,3886590.5,260864.5,3886567.5,52
25,260995.5,3886452.5,260989.5,3886422.5,56
26,261007.5,3886357.5,261036.5,3886406.5,58
27,261096.5,3886413.5,261059.5,3886308.5,59
28,261114.5,3886348.5,261088.5,3886281.5,60
29,261140.5,3886342.5,261131.5,3886298.5,61
30,261173.5,3886255.5,261150.5,3886214.5,62
31,261225.5,3886229.5,261210.5,3886173.5,63
32,261248.5,3886181.5,261274.5,3886209.5,64
33,261301.5,3886172.5,261290.5,3886145.5,65
34,261454.5,3885969.5,261445.5,3885956.5,66
35,261482.5,3885931.5,261471.5,3885914.5,67
36,261601.5,3885815.5,261597.5,3885804.5,68
37,261629.5,3885800.5,261620.5,3885780.5,69
38,261676.5,3885815.5,261654.5,3885773.5,70
39,261772.5,3885677.5,261755.5,3885638.5,71
40,261805.5,3885638.5,261780.5,3885616.5,72
41,261800.5,3885619.5,261788.5,3885596.5,73
